Topic,Description,url
PICO-8,"PICO-8 is a fantasy console for making, sharing and playing tiny games and other computer programs. When you turn it on, the machine greets you with a shell for typing in Lua commands and provides simple built-in tools for creating your own cartridges.",https://github.comPICO-8
3D,"3D technology is used in a wide range of fields, including film, video games, architecture, engineering, and product design. It allows designers to create digital models of objects that can be manipulated and rendered in three dimensions. 3D modeling software is used to create and manipulate 3D models, and 3D animation software is used to create movement and effects within those models. 3D technology has also been adopted for use in 3D printing, where physical objects can be created from digital models.",https://github.com3D
Ajax,"Ajax stands for asynchronous JavaScript and XML. It is collection of several web technologies including HTML, CSS, JSON, XML, and JavaScript. It is used for creating dynamic web pages in which small parts of web page change without reloading the page. Additionally, Ajax is fundamental for front-end developers in creating Single Page Applications (SPAs) where content updates seamlessly.",https://github.comAjax
Ansible,"Ansible is a simple and powerful automation engine. It is used to help with configuration management, application deployment, and task automation.",https://github.comAnsible
Amp,Amp is a non-blocking concurrency library for PHP. Newer versions make use of fibers to integrate well with existing interfaces and allow for transparent non-blocking I/O. Older versions make heavy use of generator-based coroutines. It's made by the developers that brought native fiber support to PHP 8.1.,https://github.comAmp
Algorithm,"Algorithms are detailed sets of guidelines created for a computer program to complete tasks efficiently and thoroughly. Algorithms in computer programming are employed to solve complex problems. Various cutting-edge technologies including artificial intelligence (AI) and machine learning (ML), operate based on simple or complex algorithms.",https://github.comAlgorithm
Docker," is software that provides containers, which allows teams to emulate development environments. It began as an internal project, initially developed by dotCloud engineers.",https://github.comDocker
Swift,"Swift is a general-purpose programming language built using a modern approach to safety, performance, and software design patterns. Inspired by many other modern programming languages, Swift is intended to be more resilient and expressive than Objective-C, its predecessor.",https://github.comSwift
Angular,"Released in 2016, Angular is a rewrite of AngularJS. It focuses on good mobile development, modularity, and improved dependency injection. Angular is designed to comprehensively address a developer's web application workflow.",https://github.comAngular
Arduino,"Arduino is an open source platform that allows users to easily build and program electronic devices using a variety of hardware and software tools. It is popular among hobbyists, educators, and professionals for its versatility and ease of use. With a variety of available microcontrollers, sensors, actuators, and other components, Arduino enables users to create a wide range of projects, from simple circuits to complex systems. Whether you are just getting started with electronics or have experience building projects, Arduino has something to offer for everyone.",https://github.comArduino
Android,"Android was designed and built by Google in 2008. The operating system is written mainly in Java, with core components in C and C++. It is built on top of the Linux kernel, giving it incorporated security benefits.",https://github.comAndroid
Amazon Web Services,"Amazon Web Services (AWS) is a subsidiary of Amazon.com that provides on-demand cloud computing platforms to individuals, companies, and governments, on a subscription basis. Compute, storage, database, networking, security, management & developer tools, AI & machine learning, analytics, etc. are some of the primary aspects of AWS.",https://github.comAmazon Web Services
API,"An , can be thought of as an instruction manual for communication between multiple software apparatuses. For example, an API may be used for database communication between web applications. By extracting the implementation and relinquishing data into objects, an API simplifies programming.",https://github.comAPI
ASP.NET,"ASP.NET is an open source web framework for building modern web apps and services with .NET. ASP.NET creates websites based on HTML5, CSS, and JavaScript that are simple, fast, and can scale to millions of users.",https://github.comASP.NET
Atom,Atom is a modern open source text editor developed by GitHub. It is designed to be approachable out of the box yet highly customizable. Atom is built using web technologies: the look and feel can be customized using CSS and new features can be added with HTML and JavaScript. There are also thousands of community created themes and packages available.,https://github.comAtom
Awesome Lists,"An awesome list is a list of awesome things curated by the community. There are awesome lists about everything from , to ,. The , serves as a curated list of awesome lists.",https://github.comAwesome Lists
ansible-code-bot-scan,,https://github.comansible-code-bot-scan
github-config,,https://github.comgithub-config
HTML,"HTML, or Hypertext Markup Language, was primarily designed to provide a means of creating structured scientific documents. HTML can embed scripting languages such as PHP or JavaScript to affect the behavior and content of web pages. The World Wide Web Consortium (W3C) maintains both the HTML and CSS standards.",https://github.comHTML
Python,"Python is a dynamically-typed garbage-collected programming language developed by Guido van Rossum in the late 80s to replace ABC. Much like the programming language Ruby, Python was designed to be easily read by programmers. Because of its large following and many libraries, Python can be implemented and used to do anything from webpages to scientific research.",https://github.comPython
CSS,"Cascading Style Sheets (CSS) is a language used most often to style and improve upon the appearance of websites. It allows for the separation of presentation and content, and includes the characteristics of layouts, colors and fonts. CSS builds upon HTML to make webpages more interactive and appealing to the user.",https://github.comCSS
