username,repo_name,stars,repo_url
mrdoob,three.js,98700,https://github.com/mrdoob/three.js
pmndrs,react-three-fiber,25800,https://github.com/pmndrs/react-three-fiber
libgdx,libgdx,22600,https://github.com/libgdx/libgdx
BabylonJS,Babylon.js,22400,https://github.com/BabylonJS/Babylon.js
ssloy,tinyrenderer,19300,https://github.com/ssloy/tinyrenderer
FreeCAD,FreeCAD,17400,https://github.com/FreeCAD/FreeCAD
lettier,3d-game-shaders-for-beginners,17000,https://github.com/lettier/3d-game-shaders-for-beginners
aframevr,aframe,16200,https://github.com/aframevr/aframe
CesiumGS,cesium,11800,https://github.com/CesiumGS/cesium
blender,blender,11400,https://github.com/blender/blender
MonoGame,MonoGame,10800,https://github.com/MonoGame/MonoGame
isl-org,Open3D,10400,https://github.com/isl-org/Open3D
metafizzy,zdog,10200,https://github.com/metafizzy/zdog
timzhang642,3D-Machine-Learning,9400,https://github.com/timzhang642/3D-Machine-Learning
nerfstudio-project,nerfstudio,8400,https://github.com/nerfstudio-project/nerfstudio
a1studmuffin,SpaceshipGenerator,7600,https://github.com/a1studmuffin/SpaceshipGenerator
domlysz,BlenderGIS,7200,https://github.com/domlysz/BlenderGIS
FyroxEngine,Fyrox,7200,https://github.com/FyroxEngine/Fyrox
google,model-viewer,6500,https://github.com/google/model-viewer
openscad,openscad,6400,https://github.com/openscad/openscad
