username,repo_name,stars,repo_url
public-apis,public-apis,291000,https://github.com/public-apis/public-apis
neovim,neovim,76200,https://github.com/neovim/neovim
tiangolo,fastapi,70500,https://github.com/tiangolo/fastapi
hoppscotch,hoppscotch,59900,https://github.com/hoppscotch/hoppscotch
strapi,strapi,59800,https://github.com/strapi/strapi
ocornut,imgui,55500,https://github.com/ocornut/imgui
slatedocs,slate,35800,https://github.com/slatedocs/slate
Kong,insomnia,33000,https://github.com/Kong/insomnia
trpc,trpc,32500,https://github.com/trpc/trpc
QuivrHQ,quivr,31800,https://github.com/QuivrHQ/quivr
httpie,cli,31700,https://github.com/httpie/cli
ccxt,ccxt,31200,https://github.com/ccxt/ccxt
hasura,graphql-engine,30800,https://github.com/hasura/graphql-engine
Binaryify,NeteaseCloudMusicApi,30200,https://github.com/Binaryify/NeteaseCloudMusicApi
encode,django-rest-framework,27400,https://github.com/encode/django-rest-framework
YMFE,yapi,27000,https://github.com/YMFE/yapi
directus,directus,25300,https://github.com/directus/directus
littlecodersh,ItChat,25000,https://github.com/littlecodersh/ItChat
microsoft,api-guidelines,22400,https://github.com/microsoft/api-guidelines
PostgREST,postgrest,22100,https://github.com/PostgREST/postgrest
