username,repo_name,stars,repo_url
jwasham,coding-interview-university,282000,https://github.com/jwasham/coding-interview-university
trekhleb,javascript-algorithms,182000,https://github.com/trekhleb/javascript-algorithms
TheAlgorithms,Python,178000,https://github.com/TheAlgorithms/Python
CyC2018,CS-Notes,172000,https://github.com/CyC2018/CS-Notes
yangshun,tech-interview-handbook,109000,https://github.com/yangshun/tech-interview-handbook
krahets,hello-algo,74500,https://github.com/krahets/hello-algo
kdn251,interviews,61500,https://github.com/kdn251/interviews
TheAlgorithms,Java,56500,https://github.com/TheAlgorithms/Java
azl397985856,leetcode,53700,https://github.com/azl397985856/leetcode
youngyangyang04,leetcode-master,47000,https://github.com/youngyangyang04/leetcode-master
algorithm-visualizer,algorithm-visualizer,46100,https://github.com/algorithm-visualizer/algorithm-visualizer
huihut,interview,33000,https://github.com/huihut/interview
halfrost,LeetCode-Go,31900,https://github.com/halfrost/LeetCode-Go
TheAlgorithms,JavaScript,31200,https://github.com/TheAlgorithms/JavaScript
TheAlgorithms,C-Plus-Plus,29000,https://github.com/TheAlgorithms/C-Plus-Plus
donnemartin,interactive-coding-challenges,28700,https://github.com/donnemartin/interactive-coding-challenges
crossoverJie,JCSprout,27100,https://github.com/crossoverJie/JCSprout
keon,algorithms,23500,https://github.com/keon/algorithms
mxgmn,WaveFunctionCollapse,22700,https://github.com/mxgmn/WaveFunctionCollapse
trekhleb,homemade-machine-learning,22500,https://github.com/trekhleb/homemade-machine-learning
