username,repo_name,stars,repo_url
bregman-arie,devops-exercises,63200,https://github.com/bregman-arie/devops-exercises
ByteByteGoHq,system-design-101,56500,https://github.com/ByteByteGoHq/system-design-101
localstack,localstack,52000,https://github.com/localstack/localstack
serverless,serverless,46000,https://github.com/serverless/serverless
donnemartin,data-science-ipython-notebooks,26400,https://github.com/donnemartin/data-science-ipython-notebooks
sst,sst,19900,https://github.com/sst/sst
pulumi,pulumi,19600,https://github.com/pulumi/pulumi
kubernetes-sigs,kubespray,15300,https://github.com/kubernetes-sigs/kubespray
getsops,sops,15000,https://github.com/getsops/sops
aws,aws-cli,14900,https://github.com/aws/aws-cli
ramitsurana,awesome-kubernetes,14700,https://github.com/ramitsurana/awesome-kubernetes
donnemartin,awesome-aws,12100,https://github.com/donnemartin/awesome-aws
caprover,caprover,12100,https://github.com/caprover/caprover
GoogleCloudPlatform,terraformer,11700,https://github.com/GoogleCloudPlatform/terraformer
aws,aws-cdk,11100,https://github.com/aws/aws-cdk
apereo,cas,10600,https://github.com/apereo/cas
aws,chalice,10300,https://github.com/aws/chalice
infracost,infracost,10200,https://github.com/infracost/infracost
prowler-cloud,prowler,9500,https://github.com/prowler-cloud/prowler
aws,amazon-sagemaker-examples,9500,https://github.com/aws/amazon-sagemaker-examples
