username,repo_name,stars,repo_url
flutter,flutter,162000,https://github.com/flutter/flutter
facebook,react-native,116000,https://github.com/facebook/react-native
justjavac,free-programming-books-zh_CN,109000,https://github.com/justjavac/free-programming-books-zh_CN
Genymobile,scrcpy,101000,https://github.com/Genymobile/scrcpy
Hack-with-Github,Awesome-Hacking,76800,https://github.com/Hack-with-Github/Awesome-Hacking
Solido,awesome-flutter,51100,https://github.com/Solido/awesome-flutter
google,material-design-icons,49700,https://github.com/google/material-design-icons
wasabeef,awesome-android-ui,49000,https://github.com/wasabeef/awesome-android-ui
tldr-pages,tldr,48200,https://github.com/tldr-pages/tldr
square,okhttp,45200,https://github.com/square/okhttp
android,architecture-samples,43800,https://github.com/android/architecture-samples
laurent22,joplin,42700,https://github.com/laurent22/joplin
square,retrofit,42600,https://github.com/square/retrofit
appwrite,appwrite,40800,https://github.com/appwrite/appwrite
dcloudio,uni-app,39300,https://github.com/dcloudio/uni-app
skylot,jadx,38800,https://github.com/skylot/jadx
fastlane,fastlane,38600,https://github.com/fastlane/fastlane
PhilJay,MPAndroidChart,37200,https://github.com/PhilJay/MPAndroidChart
shadowsocks,shadowsocks-android,34600,https://github.com/shadowsocks/shadowsocks-android
airbnb,lottie-android,34600,https://github.com/airbnb/lottie-android
