username,repo_name,stars,repo_url
bregman-arie,devops-exercises,63200,https://github.com/bregman-arie/devops-exercises
ansible,ansible,61000,https://github.com/ansible/ansible
trailofbits,algo,28300,https://github.com/trailofbits/algo
MichaelCade,90DaysOfDevOps,25800,https://github.com/MichaelCade/90DaysOfDevOps
StreisandEffect,streisand,23100,https://github.com/StreisandEffect/streisand
kubernetes-sigs,kubespray,15300,https://github.com/kubernetes-sigs/kubespray
ansible,awx,13400,https://github.com/ansible/awx
easzlab,kubeasz,10000,https://github.com/easzlab/kubeasz
semaphoreui,semaphore,9200,https://github.com/semaphoreui/semaphore
geerlingguy,ansible-for-devops,8000,https://github.com/geerlingguy/ansible-for-devops
netbootxyz,netboot.xyz,7800,https://github.com/netbootxyz/netboot.xyz
khuedoan,homelab,7700,https://github.com/khuedoan/homelab
Tikam02,DevOps-Guide,7600,https://github.com/Tikam02/DevOps-Guide
geerlingguy,mac-dev-playbook,5800,https://github.com/geerlingguy/mac-dev-playbook
rundeck,rundeck,5300,https://github.com/rundeck/rundeck
KubeOperator,KubeOperator,4900,https://github.com/KubeOperator/KubeOperator
clong,DetectionLab,4500,https://github.com/clong/DetectionLab
ansible,molecule,3800,https://github.com/ansible/molecule
dev-sec,ansible-collection-hardening,3700,https://github.com/dev-sec/ansible-collection-hardening
opendevops-cn,opendevops,3600,https://github.com/opendevops-cn/opendevops
