username,repo_name,stars,repo_url
atom,atom,60000,https://github.com/atom/atom
miniflux,v2,6200,https://github.com/miniflux/v2
themerdev,themer,5400,https://github.com/themerdev/themer
shd101wyy,markdown-preview-enhanced,4100,https://github.com/shd101wyy/markdown-preview-enhanced
nteract,hydrogen,3900,https://github.com/nteract/hydrogen
mmcdole,gofeed,2400,https://github.com/mmcdole/gofeed
atom,teletype,2400,https://github.com/atom/teletype
feeddd,feeds,2100,https://github.com/feeddd/feeds
NaiboWang,CommandlineConfig,2000,https://github.com/NaiboWang/CommandlineConfig
mehcode,awesome-atom,1900,https://github.com/mehcode/awesome-atom
kurtmckee,feedparser,1800,https://github.com/kurtmckee/feedparser
ocaml,merlin,1500,https://github.com/ocaml/merlin
simplepie,simplepie,1500,https://github.com/simplepie/simplepie
joefitzgerald,go-plus,1500,https://github.com/joefitzgerald/go-plus
Glavin001,atom-beautify,1500,https://github.com/Glavin001/atom-beautify
fwcd,kotlin-language-server,1500,https://github.com/fwcd/kotlin-language-server
t9md,atom-vim-mode-plus,1400,https://github.com/t9md/atom-vim-mode-plus
MagicStack,MagicPython,1400,https://github.com/MagicStack/MagicPython
martinrotter,rssguard,1300,https://github.com/martinrotter/rssguard
file-icons,atom,1300,https://github.com/file-icons/atom
