username,repo_name,stars,repo_url
sindresorhus,awesome,299000,https://github.com/sindresorhus/awesome
vinta,awesome-python,204000,https://github.com/vinta/awesome-python
awesome-selfhosted,awesome-selfhosted,177000,https://github.com/awesome-selfhosted/awesome-selfhosted
trimstray,the-book-of-secret-knowledge,128000,https://github.com/trimstray/the-book-of-secret-knowledge
avelino,awesome-go,120000,https://github.com/avelino/awesome-go
521xueweihan,HelloGitHub,84500,https://github.com/521xueweihan/HelloGitHub
papers-we-love,papers-we-love,83000,https://github.com/papers-we-love/papers-we-love
Hack-with-Github,Awesome-Hacking,76800,https://github.com/Hack-with-Github/Awesome-Hacking
jaywcjlove,awesome-mac,71100,https://github.com/jaywcjlove/awesome-mac
DopplerHQ,awesome-interview-questions,66400,https://github.com/DopplerHQ/awesome-interview-questions
MunGell,awesome-for-beginners,63400,https://github.com/MunGell/awesome-for-beginners
enaqx,awesome-react,61800,https://github.com/enaqx/awesome-react
sindresorhus,awesome-nodejs,55700,https://github.com/sindresorhus/awesome-nodejs
fffaraz,awesome-cpp,55300,https://github.com/fffaraz/awesome-cpp
prakhar1989,awesome-courses,53600,https://github.com/prakhar1989/awesome-courses
binhnguyennus,awesome-scalability,52900,https://github.com/binhnguyennus/awesome-scalability
Solido,awesome-flutter,51100,https://github.com/Solido/awesome-flutter
wasabeef,awesome-android-ui,49000,https://github.com/wasabeef/awesome-android-ui
vsouza,awesome-ios,45600,https://github.com/vsouza/awesome-ios
tiimgreen,github-cheat-sheet,45500,https://github.com/tiimgreen/github-cheat-sheet
