username,repo_name,stars,repo_url
bregman-arie,devops-exercises,63200,https://github.com/bregman-arie/devops-exercises
microsoft,generative-ai-for-beginners,41400,https://github.com/microsoft/generative-ai-for-beginners
pulumi,pulumi,19600,https://github.com/pulumi/pulumi
recommenders-team,recommenders,17900,https://github.com/recommenders-team/recommenders
getsops,sops,15000,https://github.com/getsops/sops
ramitsurana,awesome-kubernetes,14700,https://github.com/ramitsurana/awesome-kubernetes
Azure,azure-quickstart-templates,13700,https://github.com/Azure/azure-quickstart-templates
caprover,caprover,12100,https://github.com/caprover/caprover
infracost,infracost,10200,https://github.com/infracost/infracost
danny-avila,LibreChat,9700,https://github.com/danny-avila/LibreChat
prowler-cloud,prowler,9500,https://github.com/prowler-cloud/prowler
google,go-cloud,9400,https://github.com/google/go-cloud
milanm,DevOps-Roadmap,9400,https://github.com/milanm/DevOps-Roadmap
microsoft,computervision-recipes,9300,https://github.com/microsoft/computervision-recipes
budtmo,docker-android,7900,https://github.com/budtmo/docker-android
Netflix,metaflow,7500,https://github.com/Netflix/metaflow
microsoft,azuredatastudio,7400,https://github.com/microsoft/azuredatastudio
midwayjs,midway,7100,https://github.com/midwayjs/midway
node-formidable,formidable,6900,https://github.com/node-formidable/formidable
thangchung,clean-code-dotnet,6800,https://github.com/thangchung/clean-code-dotnet
