username,repo_name,stars,repo_url
babel,babel,42900,https://github.com/babel/babel
swc-project,swc,29900,https://github.com/swc-project/swc
nylas,nylas-mail,24800,https://github.com/nylas/nylas-mail
electron-react-boilerplate,electron-react-boilerplate,22600,https://github.com/electron-react-boilerplate/electron-react-boilerplate
SimulatedGREG,electron-vue,15400,https://github.com/SimulatedGREG/electron-vue
grab,front-end-guide,15100,https://github.com/grab/front-end-guide
jamiebuilds,babel-handbook,11900,https://github.com/jamiebuilds/babel-handbook
developit,htm,8600,https://github.com/developit/htm
grommet,grommet,8300,https://github.com/grommet/grommet
ben-rogerson,twin.macro,7800,https://github.com/ben-rogerson/twin.macro
angular-fullstack,generator-angular-fullstack,6100,https://github.com/angular-fullstack/generator-angular-fullstack
fkling,astexplorer,5900,https://github.com/fkling/astexplorer
ast-grep,ast-grep,5800,https://github.com/ast-grep/ast-grep
documentationjs,documentation,5800,https://github.com/documentationjs/documentation
insin,nwb,5600,https://github.com/insin/nwb
thinkjs,thinkjs,5300,https://github.com/thinkjs/thinkjs
egoist,poi,5200,https://github.com/egoist/poi
thx,gogocode,5200,https://github.com/thx/gogocode
duxianwei520,react,5000,https://github.com/duxianwei520/react
babel,babel-loader,4800,https://github.com/babel/babel-loader
