username,repo_name,stars,repo_url
jlevy,the-art-of-command-line,148000,https://github.com/jlevy/the-art-of-command-line
nvm-sh,nvm,75400,https://github.com/nvm-sh/nvm
junegunn,fzf,59300,https://github.com/junegunn/fzf
google,zx,41500,https://github.com/google/zx
starship,starship,40500,https://github.com/starship/starship
LeCoupa,awesome-cheatsheets,37400,https://github.com/LeCoupa/awesome-cheatsheets
acmesh-official,acme.sh,36300,https://github.com/acmesh-official/acme.sh
dylanaraps,pure-bash-bible,35800,https://github.com/dylanaraps/pure-bash-bible
koalaman,shellcheck,34900,https://github.com/koalaman/shellcheck
alebcay,awesome-shell,31000,https://github.com/alebcay/awesome-shell
mathiasbynens,dotfiles,29800,https://github.com/mathiasbynens/dotfiles
jaywcjlove,linux-command,28400,https://github.com/jaywcjlove/linux-command
withfig,autocomplete,24300,https://github.com/withfig/autocomplete
asdf-vm,asdf,20400,https://github.com/asdf-vm/asdf
dylanaraps,neofetch,20300,https://github.com/dylanaraps/neofetch
kingToolbox,WindTerm,20300,https://github.com/kingToolbox/WindTerm
warpdotdev,Warp,18600,https://github.com/warpdotdev/Warp
Nyr,openvpn-install,18300,https://github.com/Nyr/openvpn-install
ajeetdsouza,zoxide,18200,https://github.com/ajeetdsouza/zoxide
atuinsh,atuin,17600,https://github.com/atuinsh/atuin
