username,repo_name,stars,repo_url
CyC2018,CS-Notes,172000,https://github.com/CyC2018/CS-Notes
practical-tutorials,project-based-learning,166000,https://github.com/practical-tutorials/project-based-learning
fffaraz,awesome-cpp,55300,https://github.com/fffaraz/awesome-cpp
azl397985856,leetcode,53700,https://github.com/azl397985856/leetcode
youngyangyang04,leetcode-master,47000,https://github.com/youngyangyang04/leetcode-master
x64dbg,x64dbg,43100,https://github.com/x64dbg/x64dbg
Light-City,CPlusPlusThings,37000,https://github.com/Light-City/CPlusPlusThings
huihut,interview,33000,https://github.com/huihut/interview
carbon-language,carbon-lang,32100,https://github.com/carbon-language/carbon-lang
CMU-Perceptual-Computing-Lab,openpose,29800,https://github.com/CMU-Perceptual-Computing-Lab/openpose
TheAlgorithms,C-Plus-Plus,29000,https://github.com/TheAlgorithms/C-Plus-Plus
microsoft,calculator,28800,https://github.com/microsoft/calculator
doocs,leetcode,28700,https://github.com/doocs/leetcode
aseprite,aseprite,26400,https://github.com/aseprite/aseprite
dragonflydb,dragonfly,23600,https://github.com/dragonflydb/dragonfly
changkun,modern-cpp-tutorial,23000,https://github.com/changkun/modern-cpp-tutorial
ethereum,solidity,22200,https://github.com/ethereum/solidity
gabime,spdlog,22100,https://github.com/gabime/spdlog
microsoft,vcpkg,21400,https://github.com/microsoft/vcpkg
ssloy,tinyrenderer,19300,https://github.com/ssloy/tinyrenderer
