username,repo_name,stars,repo_url
Genymobile,scrcpy,101000,https://github.com/Genymobile/scrcpy
neovim,neovim,76200,https://github.com/neovim/neovim
obsproject,obs-studio,55300,https://github.com/obsproject/obs-studio
fffaraz,awesome-cpp,55300,https://github.com/fffaraz/awesome-cpp
git,git,49700,https://github.com/git/git
FFmpeg,FFmpeg,42200,https://github.com/FFmpeg/FFmpeg
serhii-londar,open-source-mac-os-apps,39400,https://github.com/serhii-londar/open-source-mac-os-apps
vim,vim,34800,https://github.com/vim/vim
curl,curl,34100,https://github.com/curl/curl
huihut,interview,33000,https://github.com/huihut/interview
mpv-player,mpv,25800,https://github.com/mpv-player/mpv
ggreer,the_silver_searcher,25700,https://github.com/ggreer/the_silver_searcher
ossrs,srs,24100,https://github.com/ossrs/srs
google,flatbuffers,22000,https://github.com/google/flatbuffers
kovidgoyal,kitty,21800,https://github.com/kovidgoyal/kitty
ruby,ruby,21500,https://github.com/ruby/ruby
microsoft,vcpkg,21400,https://github.com/microsoft/vcpkg
hashcat,hashcat,19800,https://github.com/hashcat/hashcat
radareorg,radare2,19600,https://github.com/radareorg/radare2
raysan5,raylib,18700,https://github.com/raysan5/raylib
