username,repo_name,stars,repo_url
iamadamdev,bypass-paywalls-chrome,46400,https://github.com/iamadamdev/bypass-paywalls-chrome
jaywcjlove,linux-command,28400,https://github.com/jaywcjlove/linux-command
refined-github,refined-github,23000,https://github.com/refined-github/refined-github
openai-translator,openai-translator,22400,https://github.com/openai-translator/openai-translator
darkreader,darkreader,18600,https://github.com/darkreader/darkreader
dailydotdev,daily,16300,https://github.com/dailydotdev/daily
checkly,headless-recorder,14900,https://github.com/checkly/headless-recorder
unbug,codelf,14000,https://github.com/unbug/codelf
gildas-lormeau,SingleFile,13600,https://github.com/gildas-lormeau/SingleFile
wong2,chatgpt-google-extension,13300,https://github.com/wong2/chatgpt-google-extension
immersive-translate,immersive-translate,13200,https://github.com/immersive-translate/immersive-translate
Anarios,return-youtube-dislike,12200,https://github.com/Anarios/return-youtube-dislike
crimx,ext-saladict,11600,https://github.com/crimx/ext-saladict
listen1,listen1_chrome_extension,11000,https://github.com/listen1/listen1_chrome_extension
alyssaxuu,screenity,10000,https://github.com/alyssaxuu/screenity
AutomaApp,automa,9600,https://github.com/AutomaApp/automa
josStorer,chatGPTBox,9500,https://github.com/josStorer/chatGPTBox
chathub-dev,chathub,9500,https://github.com/chathub-dev/chathub
ajayyy,SponsorBlock,8700,https://github.com/ajayyy/SponsorBlock
appbaseio,dejavu,8300,https://github.com/appbaseio/dejavu
