username,repo_name,stars,repo_url
electron,electron,112000,https://github.com/electron/electron
puppeteer,puppeteer,86700,https://github.com/puppeteer/puppeteer
microsoft,playwright,61400,https://github.com/microsoft/playwright
iamadamdev,bypass-paywalls-chrome,46400,https://github.com/iamadamdev/bypass-paywalls-chrome
FiloSottile,mkcert,45600,https://github.com/FiloSottile/mkcert
jaywcjlove,linux-command,28400,https://github.com/jaywcjlove/linux-command
ovity,octotree,22700,https://github.com/ovity/octotree
segment-boneyard,nightmare,19500,https://github.com/segment-boneyard/nightmare
checkly,headless-recorder,14900,https://github.com/checkly/headless-recorder
GoogleChrome,chrome-extensions-samples,14200,https://github.com/GoogleChrome/chrome-extensions-samples
google,WebFundamentals,13800,https://github.com/google/WebFundamentals
gildas-lormeau,SingleFile,13600,https://github.com/gildas-lormeau/SingleFile
schickling,chromeless,13200,https://github.com/schickling/chromeless
casesandberg,react-color,11800,https://github.com/casesandberg/react-color
crimx,ext-saladict,11600,https://github.com/crimx/ext-saladict
MetaMask,metamask-extension,11400,https://github.com/MetaMask/metamask-extension
chromedp,chromedp,10300,https://github.com/chromedp/chromedp
moonD4rk,HackBrowserData,9900,https://github.com/moonD4rk/HackBrowserData
ajayyy,SponsorBlock,8700,https://github.com/ajayyy/SponsorBlock
bitwarden,clients,8300,https://github.com/bitwarden/clients
