username,repo_name,stars,repo_url
metabase,metabase,36400,https://github.com/metabase/metabase
logseq,logseq,29500,https://github.com/logseq/logseq
penpot,penpot,27000,https://github.com/penpot/penpot
deeplearning4j,deeplearning4j,13400,https://github.com/deeplearning4j/deeplearning4j
LightTable,LightTable,11700,https://github.com/LightTable/LightTable
kanaka,mal,9800,https://github.com/kanaka/mal
lk-geimfari,awesomo,9200,https://github.com/lk-geimfari/awesomo
tonsky,datascript,5300,https://github.com/tonsky/datascript
reagent-project,reagent,4700,https://github.com/reagent-project/reagent
izhangzhihao,intellij-rainbow-brackets,4300,https://github.com/izhangzhihao/intellij-rainbow-brackets
riemann,riemann,4200,https://github.com/riemann/riemann
weavejester,compojure,4100,https://github.com/weavejester/compojure
bbatsov,clojure-style-guide,4000,https://github.com/bbatsov/clojure-style-guide
status-im,status-mobile,3800,https://github.com/status-im/status-mobile
babashka,babashka,3800,https://github.com/babashka/babashka
ring-clojure,ring,3700,https://github.com/ring-clojure/ring
defold,defold,3700,https://github.com/defold/defold
clojure-emacs,cider,3500,https://github.com/clojure-emacs/cider
viebel,klipse,3100,https://github.com/viebel/klipse
tallesl,Rich-Hickey-fanclub,3000,https://github.com/tallesl/Rich-Hickey-fanclub
