username,repo_name,stars,repo_url
ovity,octotree,22700,https://github.com/ovity/octotree
gitpod-io,gitpod,12300,https://github.com/gitpod-io/gitpod
reviewdog,reviewdog,7300,https://github.com/reviewdog/reviewdog
danger,danger,5300,https://github.com/danger/danger
danger,danger-js,5100,https://github.com/danger/danger-js
joho,awesome-code-review,4200,https://github.com/joho/awesome-code-review
Codium-ai,pr-agent,4000,https://github.com/Codium-ai/pr-agent
ajinabraham,nodejsscan,2300,https://github.com/ajinabraham/nodejsscan
microsoft,vscode-pull-request-github,2200,https://github.com/microsoft/vscode-pull-request-github
crev-dev,cargo-crev,2000,https://github.com/crev-dev/cargo-crev
houndci,hound,1900,https://github.com/houndci/hound
mbj,mutant,1900,https://github.com/mbj/mutant
Tencent,CodeAnalysis,1600,https://github.com/Tencent/CodeAnalysis
reviewboard,reviewboard,1500,https://github.com/reviewboard/reviewboard
ryanmcdermott,code-review-tips,1400,https://github.com/ryanmcdermott/code-review-tips
coderabbitai,ai-pr-reviewer,1300,https://github.com/coderabbitai/ai-pr-reviewer
mattzcarey,code-review-gpt,1300,https://github.com/mattzcarey/code-review-gpt
bit4woo,python_sec,1300,https://github.com/bit4woo/python_sec
code-review-checklists,java-concurrency,1200,https://github.com/code-review-checklists/java-concurrency
jiangsir404,Audit-Learning,957,https://github.com/jiangsir404/Audit-Learning
