username,repo_name,stars,repo_url
ohmyzsh,ohmyzsh,168000,https://github.com/ohmyzsh/ohmyzsh
junegunn,fzf,59300,https://github.com/junegunn/fzf
sherlock-project,sherlock,51100,https://github.com/sherlock-project/sherlock
sharkdp,bat,46300,https://github.com/sharkdp/bat
jesseduffield,lazygit,45200,https://github.com/jesseduffield/lazygit
BurntSushi,ripgrep,44700,https://github.com/BurntSushi/ripgrep
wagoodman,dive,43400,https://github.com/wagoodman/dive
google,zx,41500,https://github.com/google/zx
n8n-io,n8n,40300,https://github.com/n8n-io/n8n
chubin,cheat.sh,37400,https://github.com/chubin/cheat.sh
spf13,cobra,35800,https://github.com/spf13/cobra
cli,cli,35300,https://github.com/cli/cli
httpie,cli,31700,https://github.com/httpie/cli
sharkdp,fd,31400,https://github.com/sharkdp/fd
alebcay,awesome-shell,31000,https://github.com/alebcay/awesome-shell
ibraheemdev,modern-unix,29600,https://github.com/ibraheemdev/modern-unix
acheong08,ChatGPT,27900,https://github.com/acheong08/ChatGPT
tqdm,tqdm,27400,https://github.com/tqdm/tqdm
angular,angular-cli,26600,https://github.com/angular/angular-cli
google,python-fire,26300,https://github.com/google/python-fire
