username,repo_name,stars,repo_url
vercel,next.js,120000,https://github.com/vercel/next.js
rust-lang,rust,92600,https://github.com/rust-lang/rust
sveltejs,svelte,76300,https://github.com/sveltejs/svelte
webpack,webpack,64099,https://github.com/webpack/webpack
FuelLabs,sway,63200,https://github.com/FuelLabs/sway
gatsbyjs,gatsby,55000,https://github.com/gatsbyjs/gatsby
JetBrains,kotlin,47400,https://github.com/JetBrains/kotlin
parcel-bundler,parcel,43100,https://github.com/parcel-bundler/parcel
babel,babel,42900,https://github.com/babel/babel
evanw,esbuild,37200,https://github.com/evanw/esbuild
vlang,v,35300,https://github.com/vlang/v
carbon-language,carbon-lang,32100,https://github.com/carbon-language/carbon-lang
markedjs,marked,31800,https://github.com/markedjs/marked
ziglang,zig,30200,https://github.com/ziglang/zig
swc-project,swc,29900,https://github.com/swc-project/swc
typst,typst,27700,https://github.com/typst/typst
vercel,pkg,24200,https://github.com/vercel/pkg
v8,v8,22600,https://github.com/v8/v8
oracle,graal,19700,https://github.com/oracle/graal
RustPython,RustPython,17500,https://github.com/RustPython/RustPython
